term,x,y,k,mark
effectively,-10.608956,-0.4434849,4,
unilaterally,-3.221679,6.559294,1,
pretext,-0.8107916,11.795853,2,
eventually,-10.55655,2.4617488,3,
stop,-6.961639,6.8369045,3,
blockade,1.1956043,-9.553474,1,
baltics,-6.4436483,-14.329715,0,baltics
disincentive,-3.6328351,0.8271664,3,
internationally,-7.2456355,-6.4786167,3,
reason,-3.7314856,1.4666688,3,
strengthen,6.7541385,3.1439228,4,
concession,-9.328286,10.192679,1,
militarize,-0.82941157,3.018917,3,
countire,-2.595874,-4.5059915,3,
stalemate,-11.333828,3.6905508,1,
medlemmerne,0.9498314,-3.7335093,3,
sovereign,4.4736137,11.684199,2,
sovereignty,2.130477,12.680812,1,
embolden,-0.48682886,6.5699835,2,
faltering,-0.32958704,-0.18417785,3,
force,-11.73856,1.2620393,1,
preemptively,-4.9949117,2.9039223,3,
belorus,-0.940319,-4.4295964,3,
csto,-4.288254,-11.838759,0,
simultaneously,-6.2413764,1.3847874,3,
westward,-3.1816964,-7.116941,3,
proxy,0.9901303,7.5664477,4,
militarization,-0.73608637,2.6690679,3,
alliance,-5.4402857,-11.381077,4,alliance
taiwain,-3.245143,-2.6212301,3,
countrie,-2.367057,-3.665502,3,
reparation,-5.2394767,5.6684976,1,
japan,6.632759,-5.6859617,4,
armenia,-3.947694,-17.333334,0,
actively,-6.5618734,1.4735508,3,
provoke,-1.0350813,8.22844,2,
hostile,3.8630972,9.568363,2,
ruinous,-2.7058127,0.5186438,3,
falter,1.75656,1.8947399,3,
u.s.-led,2.111554,-2.2590563,3,
conflict,6.1363373,7.0745606,1,
tawain,-3.427289,-2.7249541,3,
presently,-7.764982,-0.18423763,3,
encroachment,4.352045,4.9055233,2,
front,-12.120739,3.3679106,1,
destabalize,-1.4623758,-2.1213012,3,
rearm,-1.3901743,3.7595174,3,
anex,-1.152739,-2.6853447,3,
consequence,-14.011056,-0.31687254,4,
conquest,2.852299,5.6017075,1,conquest
retaliate,-3.5494168,9.018458,2,
peninsula,6.7582965,-9.276722,1,
deterrent,-5.674317,9.2781,4,
neutrality,-10.429666,7.705263,1,
urkraine,-4.2890406,-1.7513642,3,
invading,1.1926029,4.2581525,3,
-ukraine,-3.1374876,-1.8454458,3,
ghost1069,-4.1199193,-4.3190327,3,ghost1069
strategically,10.820332,-0.11791503,4,
chinas,8.775678,-4.764884,4,
resource,-12.089701,-2.0000494,4,
britain,5.7083836,-5.4125905,4,
conquering,-0.074486986,-1.9213765,3,
belarussia,-1.2585773,-3.835065,3,
annex,10.231867,-9.885332,1,
belligerent,3.7414105,9.434645,2,
costly,-8.841593,2.2313666,4,
goad,-0.67479336,7.239186,2,
belligerence,2.171723,5.5251083,3,
agression,2.8973095,7.0114403,2,
belorussia,-0.47007072,-6.3529844,3,
prepare,1.142016,2.2996058,3,
konflikt,-2.5181234,-9.464787,3,
ceasefire,-9.339896,10.17755,1,
ruzzian,2.9092567,-13.613919,3,
cripple,6.507412,2.3873081,4,
strategic,11.182203,-0.48125127,4,
side,-12.106947,4.900389,3,
westwards,-2.8598065,-6.7132826,3,
otan,-8.76442,-9.6413765,3,
destabilising,0.9400065,0.7045148,3,
certainly,-7.8961406,-1.4901938,3,
balkanize,4.440056,0.33142152,3,
currently,-8.759997,-0.24473538,3,
justification,-0.7987714,11.770649,2,
nati,-2.0208437,-2.2836137,3,
ru,3.2578318,-15.647146,3,
teritory,-3.8121362,-5.5072165,3,
usas,-1.1332399,0.26604354,3,
annexation,9.284382,-10.777187,1,
aggressively,0.72886646,5.6785393,2,
manchuria,7.2996316,-7.5098042,1,
europes,3.0855064,-5.1655893,3,
escalate,-1.554893,8.310203,2,
enemy,9.684861,6.089627,4,
everybody,-5.8573775,-4.135225,3,
kazakstan,-0.16338606,-5.721144,3,
kazachstan,-0.6056904,-4.997014,3,
reu,-2.0785968,-1.1760757,3,
krim,6.013612,-11.947693,1,
attempt,-11.157037,-3.9727273,1,
u.s,3.3876996,-2.5638692,4,
destabilise,4.5210395,2.4549153,2,
monetarily,-6.3634834,-1.5914547,3,
opponent,10.304201,6.135172,4,
post-2014,-0.83449227,-0.9229591,3,
medlemmer,0.9275989,-3.7833223,3,
rapprochement,2.2260208,0.122215815,3,
khazakstan,-0.7031357,-4.939615,3,
landlocked,1.5198054,-6.681314,3,
justifiably,-2.5157795,2.0608482,3,
threat,-4.219115,10.038084,2,
fully,-8.917971,-1.1034902,3,
entirety,-9.151933,-4.8900127,3,
moldovia,-1.2118247,-5.8682647,3,
e.u,-7.152098,-10.347982,3,
independance,-5.799829,-6.699206,3,
threaten,-3.7648995,9.553917,2,
potential,-8.227895,0.821599,4,
encroach,4.4375215,4.842866,2,
antagonise,-0.009169249,5.0123954,3,
threatne,-2.7366662,-0.6427073,3,
despite,0.011338261,0.986319,3,
sovreignty,-2.2538717,-1.7802895,3,
ability,-10.986616,-0.6150994,4,
regroup,0.71671766,-15.627271,1,
kriegstreiberei,-1.9739093,-1.4390976,3,
verlengt,-1.9729255,-1.2976751,3,
subjugate,4.1882997,1.2266277,2,
prolong,-8.850532,5.893743,4,
contry,-2.9674745,-3.6987143,3,
credibly,-5.411261,2.2088428,3,
succeed,3.0085995,1.7662426,3,
strongarm,0.49808085,-0.3677408,3,
anexe,-1.0396646,-2.7268822,3,
militarise,-0.94164747,2.0256743,3,
ue,-8.625325,-9.736622,3,
standstill,-10.928049,2.853472,3,
military,1.9931167,-2.7773929,4,
r*ssia,-2.6315658,-2.5440214,3,
independence,-5.44318,-7.039898,1,
capitulate,-3.7463253,5.3541155,1,
region,1.9186145,-7.6091986,1,
feasibly,-7.0964327,-0.20389704,3,
ns2,4.2520843,-7.1575685,3,
perpetuity,-4.8828864,0.6418088,3,
territorial,-6.892942,-7.675449,1,
union,5.6217594,-1.0097278,4,
invasion,3.9363995,6.754703,1,
possible,-8.425189,1.7859421,3,
hungary,-6.0010524,-15.799171,0,
