,term,x,y,ks
62,peacefully,1.4120381,-13.21841,1
63,gifted,-6.872103,4.413123,1
64,resident,9.273012,-12.772189,2
65,legitimize,14.241352,4.947748,1
66,mariupol,-23.472794,13.765955,3
67,annex,-15.215302,-17.393452,0
68,ossetia,-20.51938,-10.407536,3
69,area,-14.262276,17.355825,3
70,forcibly,1.9272975,6.3027315,1
71,unilaterally,10.444288,3.54554,0
72,chechnya,-16.033155,-7.0790186,1
73,decide,-1.8045357,-13.293054,1
74,ukranian,-22.030468,1.0771956,3
75,separatism,22.53953,-5.048028,0
76,moldova,-22.123497,-6.915627,1
77,97,14.416743,-10.702104,2
78,happy,-4.22601,-10.588352,1
79,rightful,-8.844694,-2.009321,1
80,rsfsr,-3.82514,2.4532855,1
81,majority,15.941214,-15.634349,2
82,cede,-12.341449,-13.936123,0
83,unilateral,13.020736,4.024054,0
84,kosovo,-17.458635,-4.286771,0
85,hawaii,-10.082512,9.501001,1
86,warm,-3.1586833,14.997701,1
87,bloodshed,5.114392,-0.3555814,1
88,lnr,-30.67236,3.8601048,3
89,place,1.8754566,4.111586,1
90,legality,14.610745,0.21964897,1
91,vote,18.907883,-9.446543,2
92,wallstreet,1.2247578,-0.64129347,1
93,tatar,-13.475394,4.2181325,2
94,chunk,6.9425817,-21.832172,1
95,legitimate,18.836962,2.6142626,0
96,tartus,-4.098103,12.290667,1
97,justification,12.672901,13.346669,1
98,dpr,-29.007511,6.111153,3
99,georgia,-19.905388,-7.7658305,0
100,kerch,-3.3373914,13.208143,1
101,favor,17.642767,-18.052187,2
102,occupy,-14.432065,-16.564009,0
103,donetsk,-27.830257,14.03276,3
104,kaliningrad,-7.303298,13.1542015,1
105,illegitimate,17.99649,2.6487412,0
106,territorial,-8.5684595,-25.548208,0
107,reunification,20.544285,-13.3835945,1
108,sudden,3.406009,1.1221658,1
109,poll,15.529105,-8.285824,2
110,tatars,-11.823328,4.228378,2
111,desire,-4.61968,-14.009862,1
112,1994,25.96436,6.2369275,0
113,farce,15.333861,-1.7024639,1
114,boycott,13.117753,-9.154186,2
115,crimera,-0.24887,0.15056072,1
116,1991,25.983192,7.080159,0
117,prior,11.683046,7.105707,0
118,quo,25.544565,-3.9707575,0
119,separate,-10.092925,0.8515543,0
120,gunpoint,15.793066,-4.220847,1
121,transylvania,-0.5780544,-2.4897094,1
122,belarus,-22.996796,-6.6961393,1
123,populace,5.5654554,-13.728265,2
124,rebellion,21.774246,-4.0223856,3
125,facto,-9.33407,-16.047281,0
126,2014,7.652011,21.011093,3
127,sovereign,4.8719826,9.67053,0
128,texas,-11.425767,9.59671,1
129,sham,16.205072,-2.6426094,1
130,historically,-12.585385,-1.2702584,1
131,unhappy,-3.2407064,-9.45334,1
132,1992,25.967768,5.9977508,0
133,inhabitant,9.185314,-11.795291,2
134,mongol,-9.488702,5.821559,1
135,retake,-12.609958,-15.706455,1
136,occupation,23.665556,-15.86013,0
137,matter,6.4936967,-4.465473,1
138,chechens,-13.520858,-6.0508685,1
139,permission,9.016537,0.9604286,0
140,vacation,-18.233925,6.445773,1
141,favour,17.585152,-17.98034,2
142,nagorno,-3.836467,-0.9198937,1
143,ukrainians,-12.201613,-7.7780247,2
144,invade,-15.845757,-18.080402,0
145,cleanse,-14.65675,-1.3702561,2
146,willingly,-2.3934982,-12.097377,1
147,recognise,10.417883,-4.7041245,0
148,corridor,-2.26649,12.779795,1
149,deny,15.855292,8.684836,1
150,temporary,7.825652,7.0188136,1
151,reclaim,-12.155733,-14.9793005,1
152,fate,-1.3132477,-11.209166,1
153,ethnic,-16.416655,0.7941924,2
154,population,6.6763783,-14.3234415,2
155,unmarked,-18.899258,7.1363797,3
156,internationally,13.626229,2.1759615,0
157,justified,13.199216,0.15594791,1
158,ato,-24.089363,9.9731,3
159,kharkov,-23.111452,16.895615,3
160,homeland,-9.2802,-5.2938495,1
161,newly,-5.7309656,2.0056226,1
162,want,-4.0002174,-12.322221,1
163,motherland,-8.310414,-5.4617767,1
164,local,-30.22839,8.69038,3
165,overwhelming,13.390274,-15.943677,2
166,permanently,-3.2294943,8.795948,1
167,unanimously,13.533184,-3.8051755,1
168,plebiscite,2.646549,-1.8990538,1
169,khanate,-10.146724,4.578527,1
170,peacekeeper,1.4642789,-18.828384,3
171,request,9.7542925,0.2610612,0
172,relinquish,-0.089739844,-4.0269723,1
173,kharkiv,-23.302,16.429403,3
174,neighbouring,3.3258653,9.887087,1
175,independence,26.069235,-7.851701,0
176,technically,8.372077,3.2216103,1
177,entirely,6.545742,-7.1511507,1
178,dagestan,-15.369099,-6.2172356,1
179,fully,-3.8004684,-5.8039637,1
180,invasion,23.727152,-16.279905,0
181,recognize,10.444153,-4.8985314,0
182,concession,2.267081,-6.636749,1
183,justify,14.098778,12.739895,1
184,quebec,-11.175409,10.656453,1
185,alaska,-9.330008,9.4886265,1
186,montenegro,-2.5454664,-0.92300147,1
187,kyiv,-22.276001,18.09259,3
188,approval,15.266284,-11.856376,2
189,prevent,-1.5044111,-7.612922,1
190,naval,-4.36313,18.210005,1
191,boarder,-4.2986593,9.686938,1
192,regain,-10.480012,-15.061086,1
193,basis,-5.353888,10.289529,1
194,russian,-21.14479,3.7166374,3
195,debaltseve,-22.07584,11.653419,3
196,belong,3.1716092,15.337089,1
197,recently,-3.058242,0.5883059,1
198,95.5,0.7449561,0.41570345,1
199,seize,-14.156255,-14.7232,0
200,invitation,7.777891,0.02633271,1
201,armenia,-21.648895,-5.566852,1
202,golan,-2.6434832,-2.8707817,1
203,czechoslovakia,-0.44449842,-27.36084,1
204,convoy,-17.471016,10.57255,3
205,troop,1.08672,-19.811447,3
206,95,13.293596,-11.202266,2
207,turnout,15.846936,-10.304756,2
208,forceful,4.7424603,0.8058385,1
209,pylon,2.408467,-0.5259226,1
210,hostile,2.998117,10.828075,0
211,airport,-24.049065,12.866153,3
212,kherson,-8.036541,2.3826382,1
213,vast,12.728379,-16.399158,2
214,58,12.140103,-10.8174,2
215,debaltsevo,-22.400412,10.571975,1
216,krim,-0.86563027,1.758488,1
217,status,26.165035,-3.2671912,0
218,siberia,-0.27052796,8.845365,1
219,simply,3.956272,-4.171699,1
220,lpr,-30.661926,3.819523,3
221,incursion,-2.3824039,-19.312809,1
222,entirety,-1.8456013,-4.6952295,1
223,unconstitutional,16.654558,2.1296763,0
224,southern,-10.930592,13.9734535,1
225,1/3,-1.6376196,4.049424,1
226,action,-2.057313,-20.680958,0
227,yugoslav,-5.151708,-0.24724808,1
228,speaking,-13.8689,0.48760927,2
229,successfully,-2.1620588,-6.2349586,1
230,possibility,5.1879373,-8.670143,1
231,frozen,-6.4430904,-2.1050005,1
232,nkr,-1.3552818,-1.8804361,1
233,forever,-2.6275747,7.676769,1
234,ukrainian,-22.050955,1.0952402,3
235,withdraw,-11.354371,-19.035067,0
236,foothold,0.40532225,-6.0582995,1
237,polling,16.2325,-6.5460773,2
238,cannabis,0.9291907,-1.6320648,1
239,legitimately,13.041764,-2.9782047,1
240,happen,0.66530263,-8.77484,1
241,abkhazian,-3.9110577,-1.7354358,1
242,gift,-6.634202,5.4528623,1
243,restore,-9.395292,-13.382121,0
244,administrative,-4.736431,3.7832904,0
245,circumstance,5.761701,-8.237072,1
246,96,12.764728,-10.511675,1
247,karabakh,-6.0936584,-1.0781296,1
248,proper,8.061693,8.143377,1
249,revoke,7.5296216,5.8405004,1
250,succeed,0.0378589,-7.494697,1
251,half,-1.3656634,4.9233236,1
252,anschluss,3.9262707,-2.1342597,1
253,wish,-3.9961476,-13.104156,1
254,cyprus,-21.320358,-4.7712197,1
255,result,5.32148,3.097405,1
256,dispute,-12.497319,-12.321205,0
257,ballot,17.518906,-7.0024886,2
258,out,0.21406002,-1.0469406,1
259,presence,-1.9741861,-18.300394,0
260,march,7.586094,21.047613,3
261,pisky,-0.99826765,-0.58667594,1
262,dharma,0.2722942,-2.2670856,1
263,ussr,-4.7765164,6.0329294,1
264,blockade,-2.440393,11.257497,1
265,vocalise,1.0165284,-2.5379329,1
266,slavyansk,-22.984533,10.897563,3
267,minsk2,-0.4164941,-1.3884729,1
268,regardless,6.416276,-4.558673,1
269,voter,16.839237,-9.8998575,2
270,belli,11.107735,13.038418,1
271,regular,-20.679901,6.5934734,3
272,recognition,10.025067,-2.6368487,0
273,sovereignty,-8.558421,-25.553286,0
274,minority,6.13702,-15.659972,2
275,ceasefire,-20.947803,12.175256,3
276,voting,17.838434,-7.717492,2
277,furthermore,1.8547575,-4.3499165,1
278,"25,000",-15.804823,7.7439365,1
279,option,4.1336017,-9.430077,1
280,force,-3.8410542,-19.304625,3
281,humanitarian,-17.056156,10.802966,3
282,mediterranean,-4.6653132,14.191067,1
283,electricity,-1.5919657,14.592467,1
284,outright,14.450403,6.688435,1
285,excuse,12.988827,14.13278,1
286,safely,0.9061977,2.0032763,1
287,populate,-13.81197,-0.39902592,2
288,albanians,-15.990207,-4.0732093,1
289,fraudulent,15.155611,-1.2419999,1
